name,lat,lon,adressRue,adresseCode
EDH - European Data Hub,49.579377686187954,6.1103132914676035,12D Rue Guillaume Kroll,L-1882 Luxembourg
Luxconnect DC1,49.505027719705275 ,6.112348146151159,4 Rue Graham Bell Z.I. Riedgen,L-3235 Bettembourg
Luxconnect DC2,49.78758347546974,6.089792529774357,3 Op der Poukewiss,L-7795  Bissen
Container Heisdorf,49.66867142394959 ,6.139194476188627,1 Cité Cegedel (rue du N),L-7310 Heisdorf
CREOS Bertrange,49.60560990 ,6.03622279,Rue Hetzelt,L-8084 Bertrange
CREOS Heisdorf,49.66869088 ,6.13917543,Cité Cegedel (rue du N) 1,L-7310 Heisdorf
Creos Schifflange,49.51998399716217 ,6.018236548430273,2 Route de Bergem,L-3818 Schifflange
EBRC Betzdorf,49.69400899,6.32465909,9 Rue Pierre Werner,L-6922 Betzdorf
EBRC Kayl,49.49777358,6.05182057,210 Rue de Noertzange,L-3670 Kayl
EBRC Windhof,49.64836858,5.95783392,3 Rue d'Arlon/Rue Pierre Flammang,L-8399 Windhof
RTL City,49.63776258,6.16174267,43 BOULEVARD PIERRE FRIEDEN,L-1543 Luxembourg
Sungard (Munsbach),49.63782446,6.27080840,6B Rue Gabriel Lippmann,L-5365 Munsbach
Verizon POP,49.59538274,6.21741337,4 Rue de l'Etang,L-5326 Contern
Belval Plaza,49.50059509,5.94588088,Avenue du Rock´n Roll ,L-4361 Esch-sur-Alzette
SES-Astra,49.69411155,6.32829258,9 Rue Pierre Werner,L-6832 Betzdorf
Sungard (LAB),49.59603194,6.21537688,2-4 Rue Edmond Reuter,L-5326 Contern
